Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1365774660,61,"62,11",61,"61,7","9,51956207","589,74000017","61,950328789"
1365774720,"61,7","61,7",61,61,"0,8038189","49,10282613","61,086926583"
1365774780,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365774840,"61,9","62,11","61,7","62,11",14,"866,25",61875
1365774900,"62,02","62,02","60,94","60,94","15,53180642","958,1969862","61,692565584"
1365774960,"60,94","62,02",60,"62,01","35,66944643","2203,3993472","61,772737391"
1365775020,"62,11","62,11","62,02","62,09","16,5","1024,6220975","62,098308937"
1365775080,"62,1",64,"62,1",64,"100,62237095","6291,554844","62,526402276"
1365775140,"64,56",66,"64,56",66,"56,55195834","3675,9282921","65,000901826"
1365775200,66,66,66,66,"22,36567406","1476,134488",66
1365775260,66,70,66,68,"73,62385715","4988,0222108","67,750079986"
1365775320,68,68,65,65,"22,63037429","1508,0536004","66,638473631"
1365775380,"63,99",67,"63,99",67,"6,2",402758,"64,960967742"
1365775440,67,"69,97",67,"69,97","41,17479544","2780,0441856","67,518105576"
1365775500,74,74,"69,97",70,"253,73579424","17948,059507","70,735228986"
1365775560,70,"74,2",70,74,"128,30236127","9365,0800706","72,992265909"
1365775620,"70,01","73,99","69,97","69,97","15,88717302","1117,4595092","70,337215298"
1365775680,"70,01","70,84","69,97","69,97","50,6946417","3552,4040797","70,074547538"
1365775740,"69,97","69,97",65,65,"5,18417036","341,56532232","65,886207165"
1365775800,65,65,63,63,"15,17318718","973,98574378","64,191242896"
1365775860,"62,03",63,"62,03",63,"27,17714286","1702,4600002","62,643082422"
1365775920,"67,49","67,49","67,49","67,49","5,32016595","359,05799997","67,49"
1365775980,"62,04","67,48",62,"62,05","66,79989817","4144,9396576","62,050089464"
1365776040,"62,05",66,"62,05","62,05","14,56197396","904,55738571","62,117772508"
1365776100,"65,98","65,98","65,98","65,98","0,59","38,9282","65,98"
1365776160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365776220,63,63,63,63,"1,25809525","79,26000075",63
1365776280,"64,1","64,1",63,63,"0,9","57,14","63,488888889"
1365776340,63,63,63,63,"0,4995","31,4685",63
1365776400,"63,99","64,1","63,99","64,1",10,"640,12197182","64,012197182"
1365776460,"64,1","64,1",63,"63,51","23,64619878","1503,2656003","63,573245504"
1365776520,"63,51","63,51","63,4","63,4","25,16721776","1596,4638182","63,434259339"
1365776580,"63,51","64,1","63,4","63,4","10,86972031","691,48010342","63,615261819"
1365776640,"63,4","63,4","63,26","63,4","6,04595928","383,25781835","63,390737615"
1365776700,"63,99","64,1","63,99","64,1","2,88857255","185,08246106","64,074021981"
1365776760,"64,1","64,1","64,1","64,1","13,39612005","858,6912952","64,1"
1365776820,"65,3","65,5","65,3","65,5","6,66452956","436,22668618","65,45498557"
1365776880,66,"66,5",66,"66,5","13,57551725","898,4841385","66,184155046"
1365776940,"67,29","67,29",66,"67,29","44,50291654","2994,306154","67,283368974"
1365777000,"67,3","67,3",67,67,"55,47656266","3731,0914367","67,25527426"
1365777060,67,67,66,"66,99","6,97156127","464,22215418","66,58797595"
1365777120,"66,99","66,99","65,5","66,5","29,87953129","1978,3509523","66,210909839"
1365777180,"66,5","66,5","65,01","65,01","11,07598259","728,29978591","65,75486915"
1365777240,"65,01","66,98",65,65,"37,63108841","2468,0984742","65,58668852"
1365777300,65,67,65,67,"1,13746269","74,43000023","65,435113507"
1365777360,"65,1",67,"65,1","65,11","27,31827958","1782,9247319","65,264898056"
1365777420,67,67,67,67,"0,22656716","15,17999972",67
1365777480,65,65,65,65,"3,6995","240,4675",65
1365777540,"65,01","65,01","65,01","65,01",2,"130,02","65,01"
1365777600,65,65,65,65,"6,8266039","443,7292535",65
1365777660,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365777720,64,64,64,64,"4,49468751","287,66000064",64
1365777780,"63,54","63,54","63,54","63,54",1,"63,54","63,54"
1365777840,"63,55","63,55","63,53","63,53","23,22464493","1475,6702005","63,538977882"
1365777900,"63,51","63,51","63,51","63,51","5,01","318,1851","63,51"
1365777960,"63,53","63,53","63,45","63,51","27,66182094","1755,4588333","63,46143434"
1365778020,"63,53","63,53","63,53","63,53","1,4558166","92,488028598","63,53"
1365778080,"63,54",64,"63,53",64,"31,87484513","2030,7640121","63,710553066"
1365778140,64,64,"63,53","63,53","17,48238139","1115,3199991","63,796800573"
1365778200,"63,45","63,53","63,3","63,3",4807,"304,80231649","63,408012584"
1365778260,"63,3","63,3","63,3","63,3","3,1733961","200,87597313","63,3"
1365778320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365778380,"63,99","63,99","63,99","63,99","1,1",70389,"63,99"
1365778440,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365778500,"63,97","63,99","63,5","63,5","23,06850394","1472,9800002","63,852428576"
1365778560,62,"63,2",62,"63,2",105,"6552,9457154","62,409006814"
1365778620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365778680,"63,97","63,97","63,75","63,75","5,4",344338,"63,766296296"
1365778740,"63,44","63,44","63,02","63,02","3,87338028","244,62042525","63,154249664"
1365778800,"63,02","63,97","63,02","63,97","0,3259375","20,77808125","63,748667306"
1365778860,"63,97","63,97","63,75","63,75","11,39956229","728,12999969","63,873505067"
1365778920,"63,98","63,99","63,98","63,98","13,51365514","864,62805186","63,981805285"
1365778980,"63,99","63,99","63,99","63,99","5,16","330,1884","63,99"
1365779040,"63,98","63,98",63,"63,98","39,5676363","2496,1145565","63,084752842"
1365779100,"63,97","63,97","63,97","63,97","0,75","47,9775","63,97"
1365779160,63,63,"62,75","62,75","32,79686278","2060,3968902","62,822987188"
1365779220,"62,75","62,75","62,75","62,75","4,04371703","253,74324363","62,75"
1365779280,"62,75",63,"62,01","62,99","13,94510844","869,11363648","62,323906639"
1365779340,"62,99","62,99","61,53","62,99","12,56646938","777,5141389","61,87212298"
1365779400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365779460,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365779520,"61,5","61,5",61,61,"2,40266514","146,82000019","61,107142126"
1365779580,"60,5","60,5","60,2","60,2","48,07377863","2901,1097696","60,347030176"
1365779640,"60,21","60,5","60,2","60,2","0,48396694","29,19099987","60,316103141"
1365779700,"60,2","60,2","60,2","60,2","0,97958012","58,970723224","60,2"
